,source_taxon_name,interaction_type,target_taxon_name
26,Bombus impatiens,pollinates,Vaccinium myrtilloides
27,Bombus impatiens,pollinates,Ludwigia polycarpa
28,Bombus impatiens,pollinates,Justicia americana
29,Bombus impatiens,pollinates,Spiraea alba
30,Bombus impatiens,pollinates,Marrubium vulgare
31,Bombus impatiens,pollinates,Phlox pilosa
32,Bombus impatiens,pollinates,Melanthium virginicum
33,Bombus impatiens,pollinates,Physalis hispida
34,Bombus impatiens,pollinates,Geum vernum
35,Bombus impatiens,pollinates,Chamaedaphne calyculata
36,Bombus impatiens,pollinates,Erythronium albidum
37,Bombus impatiens,pollinates,Andromeda polifolia latifolia
0,Apis mellifera,pollinates,Roussea simplex 
1,Apis mellifera,pollinates,Bertiera zaluzania 
2,Apis mellifera,pollinates,Scorzonea humilis
3,Apis mellifera,pollinates,Parolinea intermedia
4,Apis mellifera,pollinates,Bursera simaruba 
5,Apis mellifera,pollinates,Dendropanax arboreus 
6,Apis mellifera,pollinates,Stegolepsis angustata
7,Apis mellifera,pollinates,Reseada luteola
8,Apis mellifera,pollinates,Stachytapheta jamaicensis
9,Apis mellifera,pollinates,Tourneortia argentea
10,Apis mellifera,pollinates,Lomelosia stellata
11,Apis mellifera,pollinates,Sedum sediforme
12,Apis mellifera,pollinates,Nepenthes pervillei
13,Apis mellifera,pollinates,Diplopterys pubipetala
14,Apis mellifera,pollinates,Byrsonima gardneriana
15,Apis mellifera,pollinates,Heteropterys
16,Apis mellifera,pollinates,Ixora parviflora
17,Apis mellifera,pollinates,Faujasiopsis flexuosa
18,Apis mellifera,pollinates,Stillingia lineata
19,Apis mellifera,pollinates,Crepidiastrum lanceolatum
20,Apis mellifera,pollinates,Capraria biflora
21,Apis mellifera,pollinates,Ilex mucronata
22,Apis mellifera,pollinates,Plocama pendula
23,Apis mellifera,pollinates,Wedelia hookeriana
24,Apis mellifera,pollinates,Luma apiculata
25,Apis mellifera,pollinates,Poecilandra retusa
26,Apis mellifera,pollinates,Bonnetia sessilis
27,Apis mellifera,pollinates,Nematopogon
28,Apis mellifera,pollinates,Heliamphora heterodoxa
29,Apis mellifera,pollinates,Macairea pachyphylla
30,Apis mellifera,pollinates,Siphanthera cordifolia
31,Apis mellifera,pollinates,Pagameopsis garryoides
32,Apis mellifera,pollinates,Ludwigia nervosa
